NotSuccess,Success
5061358,14485000
5061358,7371193
5061358,49801253
7176923,49801253
5923381,49801253
5923381,49801253
5589228,49801253
5589228,49801253
5589228,49801253
4450564,37000000
5010237,37000000
19800000,37000000
19800000,37000000
19800000,37000000
10185678,37000000
10185678,37000000
10185678,37000000
3577993,37000000
26445909,37000000
10501908,37000000
4593017,37000000
5288562,37000000
5288562,37000000
12200000,39838434
12200000,39838434
32277566,39838434
32277566,39838434
32277566,39838434
32277566,39838434
32277566,39838434
5646152,39838434
5646152,39838434
5646152,4411762
9751603,
9751603,
9751603,
9751603,
9751603,
9751603,
9751603,
17383269,
3943101,
3943101,
6772460,
10258736,
10258736,
10258736,
10258736,
10258736,
10395602,
7954844,
5778193,
5778193,
5778193,
5803557,
5803557,
5803557,
5803557,
27435463,
27435463,
27435463,
6038465,
13622589,
13622589,
13622589,
3665000,
3665000,
3665000,
6366226,
6366226,
6366226,
6058292,
3067843,
17300000,
17300000,
56021336,
56021336,
33381967,
33381967,
33381967,
33381967,
9250734,
9250734,
4973426,
4905934,
4905934,
4905934,
46753409,
46753409,
46753409,
46753409,
46753409,
46753409,
46753409,
46753409,
5883991,
5883991,
5883991,
19406315,
19406315,
22000000,
15000000,
15000000,
8732161,
4998369,
15696749,
3106394,
16222797,
16222797,
16222797,
16222797,
16222797,
16222797,
12816435,
390000,
390000,
2732000,
48200000,
48200000,
6856782,
5099165,
5099165,
5099165,
55368568,
55368568,
4000000,
4000000,
3019512,
3019512,
3019512,
4893027,
14405471,
9518589,
54332311,
55581296,
55581296,
55581296,
55581296,
15797727,
9437830,
4763103,
4763103,
10000000,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
114908745,
1800000,
3099490,
40000000,
16811623,
4062897,
4062897,
30000000,
5108730,
4000000,
4000000,
20662456,
20662456,
3000000,
3000000,
3500000,
3500000,
3500000,
3500000,
3500000,
3500000,
3500000,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
3150278,
24682775,
24682775,
7736186,
3283330,
3100000,
3100000,
5554535,
4951430,
38080333,
38080333,
38080333,
4505918,
4505918,
4505918,
57087037,
57087037,
57087037,
6024345,
6024345,
6024345,
30190432,
30190432,
30190432,
30190432,
30190432,
30190432,
30190432,
30190432,
100000000,
100000000,
100000000,
100000000,
100000000,
100000000,
3523280,
6589094,
56240467,
133510587,
4200000,
107000000,
6254480,
3127252,
3127252,
3127252,
3127252,
3127252,
3127252,
3127252,
3127252,
3127252,
33000000,
33000000,
33000000,
33000000,
33000000,
33000000,
33000000,
33000000,
4374000,
4484625,
3994957,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
11673846,
18237980,
18237980,
18237980,
18237980,
18237980,
56431363,
56431363,
56431363,
56431363,
56431363,
56431363,
56431363,
56431363,
4963602,
37648309,
3324772,
3173221,
8167575,
8167575,
3243032,
12160685,
12160685,
78616000,
117587000,
5900000,
5369717,
4029962,
3760147,
3760147,
3760147,
3760147,
182785152,
182785152,
182785152,
182785152,
182785152,
182785152,
182785152,
182785152,
50099635,
23039513,
23039513,
23039513,
5000000,
5000000,
5000000,
5524307,
5524307,
339000000,
339000000,
339000000,
339000000,
21777110,
21777110,
11400000,
11400000,
405447096,
405447096,
75967372,
18473736,
18473736,
12584953,
72200000,
80000000,
26499000,
5012881,
3088264,
10930330,
10930330,
11200000,
11200000,
11200000,
3251325,
3251325,
12200000,
3212635,
3212635,
14502514,
11600000,
20644917,
4515804,
